Marine Finfish only - 2017  Data,,,,,,,,,,,,,,,,,,,,,,
"Extracted from AQUIIS on July 4, 2018",,,,,,,,,,,,,,,,,,,,,,
Active ingredient - Quantities in Kg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Facility,Antibiotics,,,,,,,,,,In-feed pest control drugs,,,,,,Pesticides (bath),,,,,
,Oxytetracycline,,Florfenicol,,Erythromycin,,Ormetoprim,,Trimethoprim,,Emamectin Benzoate,,Ivermectin,,Praziquantel,0,Azamethiphos,,Hydrogen Peroxide,,,
,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,,
British Columbia,,,,,,,,,,,,,,,,,,,,,,
"Ahlstrom Point, Jervis Inlet",,,1,31.63,,,,,,,,,,,,,,,,,,
Alexender Inlet,,,1,34.88,,,,,,,,,,,,,,,3,21097.70,,
"Althorpe, Sunderland Channel",,,,,,,,,,,2,1.33,,,,,,,,,,
"Atrevida Point, Hanna Channel",,,1,2.40,,,,,,,,,,,,,,,1,18301.91,,
"Bare Bluff, Clayoquot Snd, Bedwell Snd",,,1,66.61,,,,,,,,,,,,,,,,,,
"Barnes Bay, Sonora Island",,,1,22.61,,,,,,,1,0.44,,,,,,,,,,
"Bawden Point, Herbert Inlet",,,3,83.17,,,,,,,1,0.05,,,,,,,,,,
"Baxter Islet, Dawley Passage",,,,,,,,,,,,,,,,,,,,,,
"Bedwell, East Shore",,,1,53.92,,,,,,,,,,,,,,,,,,
"Binns Island, Herbert Inlet",,,,,,,,,,,1,0.52,,,,,,,,,,
"Brent Island, Okisollo Channel",,,1,53.00,,,,,,,1,0.35,,,,,,,,,,
"Burdwood Group, Raleigh Passage",,,,,,,,,,,1,0.58,,,,,,,,,,
"Cecil Island, Greenway Sound",,,3,51.08,,,,,,,,,,,,,,,,,,
"Chancellor Channel, West Thurlow Island",,,,,,,,,,,,,,,,,,,,,,
"Charlie's Place, E. Pinnace Ch, Kyuquot Sound",5,127.45,,,,,,,,,,,,,,,,,,,,
"Concepcion Pt., Bligh Island",,,1,50.23,,,,,,,,,,,,,,,1,21583.89,,
"Cougar Bay, Tolmie Channel",,,,,,,,,,,,,,,,,,,1,2375.33,,
"Culloden Point, Jervis Inlet",,,2,18.40,,,,,,,,,,,,,,,,,,
"Cypress Hrbr, Harbour Pt, Sutlej Channel",2,185.77,2,10.02,,,,,,,1,0.06,,,,,,,,,,
"Dawley Passage, Fortune Ch., Dark Isl.",1,23.12,,,,,,,,,,,,,,,,,,,,
"Dixon Point, Shelter Inlet",,,,,,,,,,,2,1.03,,,,,,,,,,
"Doctor Bay, West Redonda Island",,,,,,,,,,,,,,,,,,,,,,
"Doctor Islets, Knight Inlet",,,2,158.87,,,,,,,1,0.54,,,,,,,,,,
"Doyle Island, Gordon Group",,,,,,,,,,,1,0.48,,,,,,,1,2177.38,,
"Duncan Island, Goletas Channel",,,,,,,,,,,1,1.29,,,,,,,,,,
"East of Maude Island, Discovery Passage",,,,,,,,,,,,,,,,,,,,,,
"Esperanza, Hecate Channel",,,,,,,,,,,,,,,,,,,1,38822.33,,
"Fortune Channel, East side Warn Bay",,,,,,,,,,,1,0.49,,,,,,,,,,
"Ghi ya, Bull Harbour, Hope Isl",,,,,,,,,,,1,0.58,,,,,,,2,15932.79,,
"Glacial Creek, near Jervis Inlet",,,,,,,,,,,,,,,,,,,,,,
"Glacial Falls, Watson Cove, Tribune Channel",,,1,29.89,,,,,,,,,,,,,,,,,,
"Goat Cove, Roderick Island",,,,,,,,,,,,,,,,,,,1,5443.58,,
"Goletas Channel, S.E. Bell Island",,,4,107.72,,,,,,,,,,,,,,,,,,
"Gore Island, King Passage",,,,,,,,,,,1,0.82,,,,,,,,,,
"Hardwicke Is. Site B, Chancellor Channel",,,,,,,,,,,,,,,,,,,,,,
"Hecate, Hecate Channel",,,1,24.12,,,,,,,,,,,,,,,,,,
"Humphrey Rock, Tribune Channel",,,1,103.07,,,,,,,,,,,,,,,,,,
"Indian Bay, Tofino Inlet",,,,,,,,,,,,,,,,,,,,,,
"Kid Bay, Roderick Island",,,1,27.58,,,,,,,,,,,,,,,,,,
"Koskimo Bay, Quatsino Sound",,,1,56.09,,,,,,,1,1.53,,,,,,,1,6315.57,,
"Larsen Island, Indian Channel",,,,,,,,,,,,,,,,,,,,,,
"Lees Bay, N. Shore, West Thurlow Is.",,,,,,,,,,,,,,,,,,,,,,
"Mahatta East, Quatsino Sound",,,,,,,,,,,1,1.03,,,,,,,2,6949.51,,
"Maude Island, SE Broughton Is.,",,,,,,,,,,,1,0.45,,,,,,,,,,
"Midsummer Island, Spring Passage",,,,,,,,,,,1,0.09,,,,,,,,,,
"Millar Channel, 2km S Hayden Passage",,,,,,,,,,,2,0.74,,,,,,,,,,
"Monday Rocks, Quatsino Sound",,,2,122.45,,,,,,,1,1.00,,,,,,,1,4275.07,,
"Muchalat Inlet North, Nootka Sound",,,1,20.10,,,,,,,,,,,,,,,1,33835.19,,
"Muchalat Inlet South, Nootka District",,,,,,,,,,,,,,,,,,,1,28331.06,,
"Mussel Rock, Clayoquot Sound",,,4,318.96,,,,,,,2,0.72,,,,,,,,,,
"Noo-La, Clio Channel",,,,,,,,,,,1,0.70,,,,,,,,,,
"Phillips Arm, Cardero Channel",,,,,,,,,,,,,,,,,,,,,,
"Plover Point, Fortune Channel,",,,1,15.80,,,,,,,,,,,,,,,,,,
"Port Elizabeth, Gilford Island",,,1,13.70,,,,,,,,,,,,,,,,,,
"Potts Bay, Midsummer Island",,,,,,,,,,,2,0.06,,,,,,,,,,
"Rant Point, Clayoquot Sound",1,638.69,6,170.50,,,,,,,2,0.26,,,,,,,,,,
"Raza Island, Raza Passage",,,1,42.35,,,,,,,1,0.72,,,,,,,,,,
"Ross Pass, Northeast McKay Island",,,2,119.30,,,,,,,2,0.59,,,,,,,,,,
"Salten, Northwest Sechelt Inlet",,,1,83.31,,,,,,,1,0.15,,,,,,,,,,
"Saranac Island, NW of Meares Island",1,1503.00,,,,,,,,,2,0.74,,,,,,,,,,
"Sargeaunt Passage, Tribune Channel",,,1,37.38,,,,,,,,,,,,,,,,,,
"Shaw Point, Sunderland Channel",,,,,,,,,,,,,,,,,,,,,,
Sheep Passage in vicinity of Pooley Isl.,,,,,,,,,,,1,1.10,,,,,,,1,32950.78,,
"Shelter Bay, Richards Channel",,,2,198.97,,,,,,,,,,,,,,,,,,
"Shelter Passage, Wishart Island",,,,,,,,,,,1,0.54,,,,,,,,,,
"Simmonds Bay, Wells Passage",,,4,80.67,,,,,,,,,,,,,,,,,,
"Sir Edmond Bay, NE Shore Broughton Inlet",,,1,48.89,,,,,,,1,0.71,,,,,,,,,,
"Site 13, Sechelt Inlet",,,1,38.25,,,,,,,,,,,,,,,,,,
"Sonora Island, Okisollo Channel",,,1,119.09,,,,,,,1,0.88,,,,,,,1,7714.11,,
"Sonora Pt., Nodales Channel",,,,,,,,,,,,,,,,,,,,,,
"Steamer Point, Hecate Channel",,,1,21.46,,,,,,,,,,,,,,,1,25409.25,,
"Surprise Island, Crowther Channel",,,,,,,,,,,,,,,,,,,,,,
"Swanson Island, North side",,,,,,,,,,,1,0.66,,,,,,,,,,
"Vantage Point, Sechelt Inlet",,,,,,,,,,,,,,,,,,,,,,
"Venture Point, Sonora Island",,,,,,,,,,,1,0.38,,,,,,,,,,
Wa-kwa,,,,,,,,,,,1,0.35,,,,,,,,,,
Wanx talis (Heath Bay),,,,,,,,,,,1,0.47,,,,,,,1,5532.08,,
"Warne Island, Tofino Inlet",2,18.22,,,,,,,,,,,,,,,,,,,,
"West Side, Bedwell Sound",,,,,,,,,,,1,0.79,,,,,,,,,,
"Whiteley Island, Kyuquot Sound",1,18.00,,,,,,,,,,,,,,,,,,,,
"Wicklow Point, Broughton Island",,,,,,,,,,,2,1.34,,,,,,,,,,
Total,13,2514.25,59,2436.46,0,0.00,0,0.00,0,0.00,47,24.55,0,0.00,0,0.00,0,0.00,21,277047.51,,
,,,,,,,,,,,,,,,,,,,,,,
Facility,Antibiotics,,,,,,,,,,In-feed pest control drugs,,,,,,Pesticides (bath),,,,,
,Oxytetracycline,,Florfenicol,,Erythromycin,,Ormetoprim,,Trimethoprim,,Emamectin Benzoate,,Ivermectin,,Praziquantel,0,Azamethiphos,,Hydrogen Peroxide,,,
,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,,
New Brunswick,,,,,,,,,,,,,,,,,,,,,,
Andy's Ledge Aquaculture Site ,1,1192.26,,,,,,,,,,,,,,,,,1,24390.00,,
Bancroft Point Aquaculture Site ,1,491.03,,,,,,,,,,,,,,,,,,,,
Boone Cove  ,,,,,,,,,,,,,,,,,,,,,,
Charlie Cove Aquaculture Site ,,,,,,,,,,,,,,,,,4,42.30,,,,
Cheney Island,,,,,,,,,,,,,,,,,,,,,,
Crow Island Aquaculture Site,,,,,,,,,,,,,,,,,4,16.85,3,14970.00,,
Curry Cove Aquaculture Site,,,,,,,,,,,,,,,,,,,,,,
Dark Harbour,,,,,,,,,,,1,0.01,,,,,3,1.45,,,,
Davidson Head Aquaculture,,,,,,,,,,,,,,,,,,,,,,
Doctors Cove Aquaculture Site ,,,,,,,,,,,,,,,,,1,3.75,,,,
Dutch Ledge Aquaculture Site ,,,,,,,,,,,,,,,,,,,,,,
Fairhaven Aquaculture Site ,,,,,,,,,,,,,,,,,1,8.25,,,,
Farmer's Ledge Aquaculture Site ,1,241.61,,,,,,,,,,,,,,,,,,,,
Fish Island Aquaculture Site ,,,,,,,,,,,,,,,,,1,7.50,,,,
Flea Island Aquaculture Site ,,,,,,,,,1,16.57,11,7.73,,,,,2,52.98,1,17970.00,,
Foley's Cove Aquaculture Site ,,,1,1.79,,,,,,,,,2,0.45,,,1,6.00,1,12600.00,,
Friars Bay Aquaculture Site ,,,,,,,,,,,,,,,,,1,4.50,,,,
Friars Head Aquaculture Site ,,,,,,,,,,,,,,,,,1,6.75,1,19500.00,,
Granger Cove Aquaculture Site ,,,1,112.21,,,,,,,11,4.16,,,,,9,38.49,,,,
Great Duck Island Aquaculture Site ,,,,,,,,,,,,,,,,,,,,,,
Green Sea Aquaculture Site ,,,,,,,,,,,,,,,,,,,,,,
Harbour D'Loutre Aquaculture Site (Otter Cove),1,220.00,,,,,,,,,5,1.06,,,,,2,4.50,,,,
Head Harbour Cubs Point,,,1,2.43,,,,,,,7,0.50,2,0.01,,,3,7.90,,,,
Head Harbour Eagle Eye,,,1,2.13,,,,,1,17.75,6,0.44,2,0.01,,,3,6.32,,,,
Hills Island Aquaculture Site ,,,,,,,,,,,3,0.97,1,0.39,,,4,6.57,1,1590.00,,
Limekiln Aquaculture Site ,,,2,17.10,,,,,,,7,2.40,,,,,6,24.75,1,2250.00,,
Limekiln Bay Aquaculture Site ,,,,,,,,,,,9,3.41,,,,,6,22.50,1,1800.00,,
Long Island,,,,,,,,,,,,,,,,,,,,,,
Long Island Aquaculture Site ,,,1,5.49,,,,,,,2,0.96,1,0.02,,,,,,,,
Long Pond Bay Aquaculture Site ,,,,,,,,,,,,,1,0.51,,,,,,,,
Lords Cove Aquaculture Site ,,,,,,,,,,,,,,,,,,,,,,
Man O'War Aquaculture Site,,,,,,,,,,,,,,,,,,,,,,
Nantucket Island Aquaculture Site ,,,,,,,,,,,,,,,,,1,9.00,,,,
Outer Wood Island Aquaculture Site ,,,2,2.40,,,,,,,,,1,0.50,,,,,,,,
"Penn Island, near Maces Bay",,,,,,,,,,,,,1,0.25,,,,,,,,
Pond Point Ledges Aquaculture Site ,,,1,21.54,,,,,,,,,2,0.41,,,,,,,,
Quoddy Site,,,,,,,,,,,,,,,,,,,,,,
Red Head Harbour Aquaculture ,,,,,,,,,,,,,1,0.48,,,,,,,,
Ross Island Aquaculture Site ,2,1173.54,,,,,,,,,,,,,,,2,30.00,,,,
Seal Cove Aquaculture Site ,,,,,,,,,,,,,,,,,,,,,,
Seeley's Cove Aquaculture Site ,,,1,4.79,,,,,,,,,1,0.75,,,1,11.75,,,,
Simpson Island Aquaculture Site ,,,,,,,,,,,,,,,,,,,,,,
St. Andrews Aquaculture Site,,,,,,,,,,,,,,,,,,,,,,
Welch Cove Aquaculture Site ,,,1,3.94,,,,,,,,,1,0.23,,,,,1,4905.00,,
Wood Island Aquaculture Site,,,2,8.36,,,,,,,,,1,0.49,,,,,,,,
Total,6,3318.43,14,182.17,0,0.00,0,0.00,2,34.32,62,21.64,17,4.50,0,0.00,56,312.11,11,99975.00,,
,,,,,,,,,,,,,,,,,,,,,,
Facility,Antibiotics,,,,,,,,,,In-feed pest control drugs,,,,,,Pesticides (bath),,,,,
,Oxytetracycline,,Florfenicol,,Erythromycin,,Ormetoprim,,Trimethoprim,,Emamectin Benzoate,,Ivermectin,,Praziquantel,0,Azamethiphos,,Hydrogen Peroxide,,,
,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,,
Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,,,,
"Cinq Island Cove, Belle Bay",,,,,,,,,,,,,11,0.64,1,7.73,3,6.75,,,,
"Dog Cove, Great Bay de l'Eau",,,,,,,,,,,3,3.00,,,,,9,31.50,,,,
Foshie's Cove,,,,,,,,,,,10,10.71,,,,,9,56.25,,,,
"Grip Cove, Little Passage",1,1131.78,,,,,,,,,1,1.09,,,,,5,13.30,1,22080.00,,
"Harvey Hill East, Northeast Arm",,,,,,,,,,,,,,,,,3,10.50,,,,
"Hickman's Point, East Bay, Fortune Bay",,,1,8.70,,,,,,,,,9,0.27,1,4.09,7,18.99,1,8047.13,,
Ironskull Point,,,,,,,,,,,,,10,0.40,1,5.71,2,13.50,1,3726.00,,
Little Burdock Cove,,,,,,,,,,,,,,,,,1,1.50,,,,
"Manuel Arm, Bay d'Espoir",,,,,,,,,,,,,,,,,,,,,,
"McGrath Cove North, Belle Bay",,,1,3.95,,,,,,,2,0.27,9,0.49,1,6.78,7,10.87,,,,
"McGrath Cove South, Belle Bay",,,2,18.90,,,,,,,,,,,,,,,,,,
Murphy Point,,,,,,,,,,,9,13.73,,,,,6,18.50,,,,
North of Killbuck Cove,,,,,,,,,,,,,,,,,,,,,,
"Northwest Cove, Bay d'Espoir",1,1375.88,,,,,,,,,1,0.93,2,0.37,,,,,,,,
Olive Cove,1,545.78,,,,,,,,,1,0.75,2,0.38,,,1,1.90,,,,
Rencontre East Island,,,,,,,,,,,7,6.88,,,,,9,33.74,,,,
"Robin Hood Cove, Little Passage",1,1381.38,,,,,,,,,1,1.28,,,,,3,30.40,,,,
"Salmonier Cove, Great Bay de l'Eau",,,,,,,,,,,8,5.63,,,,,9,38.27,,,,
"Spoon Cove, Belle Bay",,,,,,,,,,,,,11,0.43,1,5.40,4,6.75,,,,
Spyglass Cove (Cinq Islands Bay),,,1,10.93,,,,,,,3,0.08,,,,,2,0.91,,,,
Steamers Head,,,,,,,,,,,,,10,0.63,1,7.96,6,12.60,,,,
"Sugarloaf Island, Great Cullier Bay",,,,,,,,,,,,,,,,,,,,,,
The Hobby,,,,,,,,,,,8,8.20,,,,,8,26.25,,,,
The Matchems,1,1425.19,,,,,,,,,1,1.44,,,,,9,34.20,1,28560.00,,
"Tilt Point, Cinq Island Bay, Fortune Bay",,,,,,,,,,,,,11,0.52,1,6.51,6,13.82,,,,
Total,5,5860.01,5,42.48,0,0.00,0,0.00,0,0.00,55,53.98,75,4.13,7,44.18,109,380.50,4,62413.13,,
,,,,,,,,,,,,,,,,,,,,,,
Facility,Antibiotics,,,,,,,,,,In-feed pest control drugs,,,,,,Pesticides (bath),,,,,
,Oxytetracycline,,Florfenicol,,Erythromycin,,Ormetoprim,,Trimethoprim,,Emamectin Benzoate,,Ivermectin,,Praziquantel,0,Azamethiphos,,Hydrogen Peroxide,,,
,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,Frequency,Quantities,,
Nova Scotia,,,,,,,,,,,,,,,,,,,,,,
Blue Island Site,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,
Boston Rock,,, ,, ,, ,, ,,  ,, ,, ,, ,, ,,,
Freeport,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,
Jordan Bay Aquaculture Site,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,
Liverpool Bay Aquaculture Site,,,,,,,,,,,,,,,,,,,,,,
Rattling Beach Aquaculture Site,,,,,,,,,,,,,,,,,,,,,,
"Saddle Island , Aspotogan Harbour Aquaculture Site",,,,,,,,,,,,,,,,,,,,,,
Victoria Beach Site,,, ,, ,, ,, ,,  ,, ,, ,, ,, ,,,
Whycocomagh Bay,,, ,, ,, ,, ,,,, ,, ,, ,, ,,,
Whycocomagh Bay 2,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,
Whycocomagh Bay 3,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,
Total,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,,
,,,,,,,,,,,,,,,,,,,,,,
Grand Total,24,11692.69,78,2661.10,0,0.00,0,0.00,2,34.32,164,100.17,92,8.62,7,44.18,165,692.61,36,439435.63,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
