country,aqua_type,year,1000_m2,hectares,tons
korea,total,2016,3736,37360000,80151
korea,cage,2016,1056,10560000,
korea,inland,2016,2285,22850000,
korea,barrage,2016,395,3950000,
korea,total,2015,3817,38170000,85448
korea,cage,2015,981,9810000,
korea,inland,2015,2325,23250000,
korea,barrage,2015,511,5110000,
korea,total,2014,3774,37740000,83437
korea,cage,2014,930,9300000,
korea,inland,2014,2326,23260000,
korea,barrage,2014,517,5170000,
korea,total,2013,3745,37450000,73108
korea,cage,2013,981.5,9815000,
korea,inland,2013,2397,23970000,
korea,barrage,2013,366.6,3666000,